A=Rank	B=Calculator Keyword	C=Category	D=Monthly Volume (US)	E=KD	F=CPC (USD)	G=Search Intent	H=SERP Features
A=108	B=mortgage payoff calculator	C=Finance & Loans	D=49500	E=65	F=0.63	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=109	B=asphalt calculator	C=Home & Construction	D=22200	E=19	F=2.72	G=Informational	H=Video, People also ask, Related searches, Ads bottom
A=110	B=cubic feet calculator	C=Finance & Loans	D=27100	E=42	F=2.81	G=Informational	H=Sitelinks, Instant answer, Video, People also ask, Related searches
A=111	B=future value calculator	C=Other & Misc	D=40500	E=37	F=0.36	G=Informational	H=Video, Related searches
A=112	B=protein calculator	C=Health & Fitness	D=49500	E=57	F=0.3	G=Informational	H=Video, People also ask, Related searches
A=113	B=annuity calculator	C=Finance & Loans	D=33100	E=60	F=2.3	G=Commercial	H=Video, People also ask, Related searches
A=114	B=grow a garden calculator	C=Home & Construction	D=40500	E=24	F=0	G=Informational, Transactional	H=Video, Related searches
A=115	B=ups shipping calculator	C=Other & Misc	D=49500	E=63	F=0.41	G=Navigational, Transactional	H=Video, People also ask, Related searches
A=116	B=map calculator	C=Other & Misc	D=60500	E=69	F=0	G=Informational	H=Image, Image pack, Video, People also ask, Related searches
A=117	B=crcl calculator	C=Other & Misc	D=22200	E=47	F=4.89	G=Informational	H=Video, Related searches
A=118	B=mortgage affordability calculator	C=Finance & Loans	D=40500	E=71	F=1.53	G=Informational	H=Video, Related searches, Ads bottom
A=119	B=gold calculator	C=Other & Misc	D=40500	E=40	F=0.34	G=Informational	H=Sitelinks, Video, Related searches
A=120	B=car insurance calculator	C=Other & Misc	D=14800	E=52	F=14.31	G=Commercial	H=Video, People also ask, Related searches
A=121	B=final exam calculator	C=Other & Misc	D=49500	E=50	F=0	G=Informational	H=Video, People also ask, Related searches
A=122	B=time sheet calculator	C=Date & Time	D=33100	E=63	F=2.18	G=Informational	H=Video, Related searches
A=123	B=work hours calculator	C=Date & Time	D=40500	E=78	F=1.76	G=Informational	H=Related searches
A=124	B=life path calculator	C=Other & Misc	D=27100	E=50	F=2.72	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=125	B=credit card interest calculator	C=Finance & Loans	D=27100	E=58	F=3.2	G=Informational	H=Video, People also ask, Related searches
A=126	B=life expectancy calculator	C=Other & Misc	D=33100	E=52	F=1.3	G=Informational	H=AI Overview, Video, People also ask, Related searches
A=127	B=reverse mortgage calculator	C=Finance & Loans	D=14800	E=33	F=8.21	G=Informational	H=Sitelinks, AI Overview, People also ask, Related searches, Ads bottom
A=128	B=betting odds calculator	C=Other & Misc	D=22200	E=79	F=8.59	G=Informational	H=Related searches
A=129	B=car calculator	C=Other & Misc	D=49500	E=81	F=0.66	G=Informational	H=Sitelinks, Video, Related searches
A=130	B=hourly to salary calculator	C=Finance & Loans	D=49500	E=67	F=0.24	G=Informational	H=Sitelinks, Video, Related searches
A=131	B=mulch calculator	C=Home & Construction	D=33100	E=27	F=0.29	G=Informational	H=Video, Video carousel, Related searches
A=132	B=financial calculator	C=Other & Misc	D=49500	E=81	F=0.57	G=Informational, Transactional	H=Sitelinks, Video, People also ask, Related searches, Things to know, Ads top
A=133	B=loan amortization calculator	C=Finance & Loans	D=33100	E=71	F=2.12	G=Informational	H=Knowledge panel, Related searches, Ads bottom
A=134	B=illinois paycheck calculator	C=Finance & Loans	D=14800	E=23	F=5.8	G=Informational	H=Related searches
A=135	B=palworld breeding calculator	C=Other & Misc	D=40500	E=39	F=0	G=Informational	H=Sitelinks, Image, Image pack, Video, Related searches
A=136	B=rent calculator	C=Finance & Loans	D=40500	E=59	F=0.48	G=Informational	H=Video, Related searches
A=137	B=loan payoff calculator	C=Finance & Loans	D=27100	E=57	F=2.42	G=Commercial	H=Video, Related searches
A=138	B=ebay fee calculator	C=Finance & Loans	D=22200	E=48	F=1.6	G=Informational, Transactional	H=Sitelinks, Video, People also ask, Knowledge panel, Related searches, Ads top, Ads bottom
A=139	B=a1c calculator	C=Health & Fitness	D=18100	E=30	F=3.59	G=Informational	H=Video, People also ask, Related searches
